 rm |      A_hex |                A_dec |                 A_fields ||      B_hex |                B_dec |                 B_fields ||    Out_hex |              Out_dec |               Out_fields |    Ref_hex |              Ref_dec |               Ref_fields | RESULT
011 | 0x0074D232 | 1.0728321424692299e-38 |  s=0x0 e=0x00 m=0x74D232 || 0xF7C32C77 | -7.917185481157744e+33 |  s=0x1 e=0xEF m=0x432C77 || 0xF7C32C77 | -7.917185481157744e+33 |  s=0x1 e=0xEF m=0x432C77 | 0xF7C32C76 | -7.917184862187725e+33 |  s=0x1 e=0xEF m=0x432C76 |   FAIL
010 | 0x60F4F429 | 1.4120622335638844e+20 |  s=0x0 e=0xC1 m=0x74F429 || 0xE74D9ACB | -9.709405552672182e+23 |  s=0x1 e=0xCE m=0x4D9ACB || 0xE74D9324 | -9.70799394440498e+23 |  s=0x1 e=0xCE m=0x4D9324 | 0xE74D9324 | -9.70799394440498e+23 |  s=0x1 e=0xCE m=0x4D9324 |   PASS
100 | 0x8B2A332B | -3.277930355583656e-32 |  s=0x1 e=0x16 m=0x2A332B || 0xC6996ADB |     -19637.427734375 |  s=0x1 e=0x8D m=0x196ADB || 0xC6996ADB |     -19637.427734375 |  s=0x1 e=0x8D m=0x196ADB | 0xC6996ADB |     -19637.427734375 |  s=0x1 e=0x8D m=0x196ADB |   PASS
011 | 0x804848A3 | -6.638212868319487e-39 |  s=0x1 e=0x00 m=0x4848A3 || 0x240AD7BF | 3.010672401024759e-17 |  s=0x0 e=0x48 m=0x0AD7BF || 0x240AD7BF | 3.010672401024759e-17 |  s=0x0 e=0x48 m=0x0AD7BF | 0x240AD7BF | 3.010672401024759e-17 |  s=0x0 e=0x48 m=0x0AD7BF |   PASS
100 | 0x95020F38 | -2.6265296402656605e-26 |  s=0x1 e=0x2A m=0x020F38 || 0x1BDC499A | 3.6443510847296975e-22 |  s=0x0 e=0x37 m=0x5C499A || 0x1BDC458A | 3.64408855182044e-22 |  s=0x0 e=0x37 m=0x5C458A | 0x1BDC458A | 3.64408855182044e-22 |  s=0x0 e=0x37 m=0x5C458A |   PASS
011 | 0x2B5B4E85 | 7.791339730507663e-13 |  s=0x0 e=0x56 m=0x5B4E85 || 0x343408A3 | 1.6766948363056144e-07 |  s=0x0 e=0x68 m=0x3408A3 || 0x343408D9 | 1.6767025101671607e-07 |  s=0x0 e=0x68 m=0x3408D9 | 0x343408DA | 1.6767026522757078e-07 |  s=0x0 e=0x68 m=0x3408DA |   FAIL
000 | 0x00000001 | 1.401298464324817e-45 |  s=0x0 e=0x00 m=0x000001 || 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 || 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 | 0x3F800000 |                  1.0 |  s=0x0 e=0x7F m=0x000000 |   PASS
000 | 0x9C1AB2A4 | -5.118521332953894e-22 |  s=0x1 e=0x38 m=0x1AB2A4 || 0x42736D13 |    60.85651779174805 |  s=0x0 e=0x84 m=0x736D13 || 0x42736D13 |    60.85651779174805 |  s=0x0 e=0x84 m=0x736D13 | 0x42736D13 |    60.85651779174805 |  s=0x0 e=0x84 m=0x736D13 |   PASS
100 | 0x054F1BD3 | 9.73820372667677e-36 |  s=0x0 e=0x0A m=0x4F1BD3 || 0x5BD05190 | 1.1727294814591386e+17 |  s=0x0 e=0xB7 m=0x505190 || 0x5BD05190 | 1.1727294814591386e+17 |  s=0x0 e=0xB7 m=0x505190 | 0x5BD05190 | 1.1727294814591386e+17 |  s=0x0 e=0xB7 m=0x505190 |   PASS
000 | 0xB5FDCA82 | -1.8908906440628925e-06 |  s=0x1 e=0x6B m=0x7DCA82 || 0x80B1A15B | -1.631276625563031e-38 |  s=0x1 e=0x01 m=0x31A15B || 0xB5FDCA82 | -1.8908906440628925e-06 |  s=0x1 e=0x6B m=0x7DCA82 | 0xB5FDCA82 | -1.8908906440628925e-06 |  s=0x1 e=0x6B m=0x7DCA82 |   PASS
